t,c
0.000000000,0.000000000
2.000000000,73.969640213
4.000000000,0.000000000
6.000000000,0.000000000
8.000000000,46.913286766
10.000000000,25.439663720
12.000000000,0.000000000
14.000000000,7.387506373
16.000000000,0.000000000
18.000000000,18.183690153
20.000000000,72.865003280
22.000000000,5.202623275
24.000000000,0.000000000
26.000000000,0.000000000
28.000000000,0.000000000
30.000000000,7.819490992
32.000000000,0.000000000
34.000000000,4.805458129
36.000000000,54.998135290
38.000000000,124.390292226
40.000000000,16.220079237
42.000000000,0.000000000
44.000000000,0.000000000
46.000000000,52.830550575
48.000000000,0.000000000
50.000000000,0.000000000
52.000000000,37.622909445
54.000000000,0.000000000
56.000000000,20.515111381
58.000000000,0.000000000
60.000000000,0.000000000
62.000000000,0.000000000
64.000000000,0.000000000
66.000000000,0.000000000
68.000000000,0.000000000
70.000000000,21.809635986
72.000000000,7.844832959
74.000000000,50.710570088
76.000000000,0.000000000
78.000000000,0.000000000
80.000000000,53.932580375
82.000000000,85.768740385
84.000000000,38.855680945
86.000000000,64.928403980
88.000000000,50.987898884
90.000000000,48.218618385
92.000000000,88.915424131
94.000000000,109.166995455
96.000000000,135.160746165
98.000000000,47.331640397
100.000000000,94.668125596
102.000000000,75.447964627
104.000000000,115.902786421
106.000000000,92.698285865
108.000000000,74.878176665
110.000000000,158.231766833
112.000000000,100.643193319
114.000000000,175.819933298
116.000000000,214.404083357
118.000000000,165.515010274
120.000000000,161.314758811
122.000000000,193.236848540
124.000000000,177.976222022
126.000000000,257.985776028
128.000000000,284.637957996
130.000000000,255.363519131
132.000000000,198.492898863
134.000000000,292.690528534
136.000000000,364.266037614
138.000000000,218.731823577
140.000000000,271.472684598
142.000000000,322.673307454
144.000000000,275.345703491
146.000000000,377.661463295
148.000000000,385.092685303
150.000000000,409.596951600
152.000000000,315.335078146
154.000000000,362.949230464
156.000000000,462.948030694
158.000000000,423.279868240
160.000000000,440.905185256
162.000000000,462.497051211
164.000000000,402.383561650
166.000000000,416.922930264
168.000000000,428.443461189
170.000000000,477.607973566
172.000000000,487.978123703
174.000000000,551.050646873
176.000000000,524.767262051
178.000000000,464.807954304
180.000000000,514.930632706
182.000000000,521.997068111
184.000000000,519.289056537
186.000000000,462.935794138
188.000000000,568.302667954
190.000000000,521.842484076
192.000000000,593.669939739
194.000000000,557.732294059
196.000000000,553.224347414
198.000000000,541.988984447
200.000000000,559.749877410
202.000000000,623.925581517
204.000000000,553.087364286
206.000000000,573.112548630
208.000000000,612.708770589
210.000000000,620.345442273
212.000000000,633.307734589
214.000000000,611.023596133
216.000000000,594.862419048
218.000000000,651.998436049
220.000000000,622.819153293
222.000000000,601.716920252
224.000000000,554.168202729
226.000000000,545.804766062
228.000000000,624.993931886
230.000000000,660.941522454
232.000000000,651.610621041
234.000000000,634.424253317
236.000000000,667.947666379
238.000000000,629.301136330
240.000000000,750.112093279
242.000000000,594.375685768
244.000000000,611.046764513
246.000000000,658.106382686
248.000000000,686.283133437
250.000000000,709.800594381
252.000000000,628.808526361
254.000000000,615.940242416
256.000000000,709.887630575
258.000000000,675.700449006
260.000000000,700.162529543
262.000000000,738.705602743
264.000000000,674.079165310
266.000000000,674.166828129
268.000000000,690.418455046
270.000000000,687.441090461
272.000000000,684.383695198
274.000000000,677.541148330
276.000000000,688.735600210
278.000000000,768.723705335
280.000000000,747.119985904
282.000000000,681.324697334
284.000000000,736.602643420
286.000000000,704.704049229
288.000000000,646.747625303
290.000000000,634.105610925
292.000000000,649.338189222
294.000000000,673.088860942
296.000000000,653.227246402
298.000000000,736.875856351
300.000000000,678.098862356
302.000000000,738.697217721
304.000000000,705.060406779
306.000000000,606.456979290
308.000000000,733.286931332
310.000000000,727.278650459
312.000000000,745.239893297
314.000000000,725.796443337
316.000000000,739.631754490
318.000000000,717.721746166
320.000000000,693.849249171
322.000000000,783.759211846
324.000000000,684.188198266
326.000000000,753.253555631
328.000000000,682.818686035
330.000000000,724.271061248
332.000000000,719.853329068
334.000000000,725.103019202
336.000000000,748.899872855
338.000000000,696.302366172
340.000000000,691.710630274
342.000000000,687.797096626
344.000000000,631.088656018
346.000000000,776.526906971
348.000000000,707.988021217
350.000000000,694.164718141
352.000000000,708.280600305
354.000000000,717.224589749
356.000000000,749.704206779
358.000000000,719.113443261
360.000000000,748.160241651
362.000000000,710.213033651
364.000000000,739.911848973
366.000000000,702.119809390
368.000000000,739.352494023
370.000000000,737.165783649
372.000000000,719.415022972
374.000000000,729.747964135
376.000000000,685.955515891
378.000000000,743.352358520
380.000000000,739.666296564
382.000000000,673.961808766
384.000000000,833.953020794
386.000000000,749.272623685
388.000000000,760.886798544
390.000000000,735.908032438
392.000000000,774.616869127
394.000000000,716.305182476
396.000000000,763.393804630
398.000000000,755.558026678
400.000000000,818.339196125
